customer_id,first_name,last_name,date_of_birth,email,phone_number,address,city,state,postal_code,country,annual_income,employment_status,account_open_date,credit_score
1,Kimberly,Lucero,6/24/1987,powellmegan@example.com,3532944575,6440 Castillo Spur,Honolulu,Hawaii,96779,United States,75524,Employed,9/28/2021,581
2,Anne,Adkins,7/30/1981,joseph09@example.net,(396)861-5955x58135,719 James Causeway,Concord,New Hampshire,3141,United States,17387,Unemployed,9/16/2024,404
3,Calvin,Mora,2/9/2003,sharpryan@example.org,+1-993-304-4243x643,23794 Kevin Valley Apt. 817,Boise,Idaho,83302,United States,10833,Student,2/17/2015,389
4,Lindsay,White,4/21/1983,amandaleonard@example.net,320-983-9252x88234,3947 Bryan Cliff Apt. 989,Boise,Idaho,83307,United States,79106,Employed,3/7/2022,330
5,Chase,Williams,7/20/1988,jameswilson@example.com,257.268.3141x5558,40131 Delgado Creek Apt. 068,Santa Fe,New Mexico,88191,United States,12825,Unemployed,12/5/2018,817
6,Jesse,Wheeler,10/14/1996,aaron17@example.net,(306)802-9977x33046,1562 Walker Glens,Columbus,Ohio,45017,United States,12403,Student,11/7/2020,503
7,Anna,Bell,2/16/1998,andrew13@example.org,607-778-5244,57288 Cooke Tunnel,Phoenix,Arizona,86391,United States,7418,Student,6/21/2022,729
8,Jennifer,Lambert,9/10/1994,teresaharris@example.org,553.971.1201x13747,945 Smith Mountains Apt. 565,Charleston,West Virginia,25833,United States,7527,Student,5/29/2021,584
9,Scott,Alexander,2/8/1986,christopherdiaz@example.com,(639)386-5872,777 Bryan Loop Apt. 548,Tallahassee,Florida,32230,United States,67328,Employed,2/24/2023,463
10,Heather,Morrison,11/13/1977,daniel86@example.org,001-875-897-0000x00998,98231 Lisa Well,Des Moines,Iowa,52101,United States,82024,Self-Employed,6/15/2019,584
11,Jessica,Munoz,12/21/1976,kirkshannon@example.net,472-534-8204x64288,97685 Gibbs Streets,Des Moines,Iowa,52476,United States,107213,Self-Employed,6/16/2021,404
12,Jacob,Garcia,9/1/1984,ginamorales@example.net,001-261-713-2717x94914,33082 Thomas Brooks,Denver,Colorado,80925,United States,97648,Employed,5/7/2017,667
13,Joanna,Pena,12/6/1996,colindougherty@example.com,278-544-9214x359,0327 Oliver Divide,Indianapolis,Indiana,46138,United States,10513,Student,8/18/2022,570
14,Vincent,White,6/21/1961,sjenkins@example.com,(310)499-3450x41671,541 Tracie Parks Apt. 075,Salem,Oregon,97864,United States,75441,Retired,8/11/2024,849
15,Matthew,Galvan,1/10/1953,patriciagibson@example.org,(471)772-0243,05310 Johnson Tunnel,Saint Paul,Minnesota,56125,United States,66327,Retired,3/12/2018,380
16,Joe,Lopez,8/3/1993,keith08@example.com,6278659669,4157 Nicole River Apt. 429,Santa Fe,New Mexico,87783,United States,11979,Student,8/24/2017,670
17,Chris,Pacheco,5/7/1993,martinezmary@example.org,4164039044,95788 Mary Pass,Juneau,Alaska,99672,United States,58711,Employed,12/1/2020,346
18,Nicholas,Anderson,11/27/1967,mullinsjacob@example.org,-4474,987 Rangel Forks Apt. 972,Saint Paul,Minnesota,56177,United States,92770,Self-Employed,10/24/2023,381
19,Jerry,Scott,5/10/1984,dustinlopez@example.com,001-216-469-9888x16302,65961 Benjamin Inlet Apt. 125,Lincoln,Nebraska,69093,United States,74168,Employed,9/14/2015,689
20,Sandra,Ramos,6/4/1973,nicole02@example.org,(620)217-4960,70123 Miguel Green,Bismarck,North Dakota,58759,United States,55055,Self-Employed,8/3/2018,466
21,Shawn,Francis,6/28/1983,maciasbrandon@example.org,322-851-4404,33120 Donna Rue,Montgomery,Alabama,35715,United States,18174,Unemployed,3/26/2017,573
22,Richard,Clayton,10/2/1983,williecalhoun@example.com,359-341-9532x32383,21050 Lindsay Throughway Suite 914,Lansing,Michigan,48228,United States,57772,Employed,7/28/2016,475
23,Johnny,Russell,5/13/1988,jay57@example.org,-9308,2456 Robbins Extensions Suite 854,Columbia,South Carolina,29936,United States,18472,Unemployed,3/27/2022,467
24,Joseph,Shaw,5/21/1965,casey27@example.org,+1-729-982-0044x81934,69428 Jack Branch,Atlanta,Georgia,30677,United States,109897,Self-Employed,9/27/2016,524
25,Shawn,Burke,3/28/1989,donaldbates@example.net,(667)892-4543,83026 Olivia Junction,Charleston,West Virginia,25591,United States,74676,Employed,2/16/2022,534
26,Martin,Grimes,7/17/1990,vanessareynolds@example.org,593-966-7763,77596 Davis Mount Apt. 550,Boston,Massachusetts,2658,United States,103514,Self-Employed,2/9/2016,710
27,Dominique,Robertson,10/27/1999,silvastephen@example.net,+1-515-301-4156x5981,36089 Scott Terrace,Charleston,West Virginia,26250,United States,10204,Unemployed,11/5/2022,622
28,Victoria,Castro,10/20/1967,kimsean@example.net,857.553.2474,829 Brown Mission Suite 296,Harrisburg,Pennsylvania,16306,United States,70706,Retired,12/7/2020,705
29,Christopher,Hicks,7/29/1959,emilycole@example.net,(401)761-4294x552,2985 York Crossing Suite 545,Pierre,South Dakota,57600,United States,63345,Retired,5/11/2015,446
30,Arthur,Williams,11/8/1982,qnewton@example.org,880-231-5395x67670,949 Leslie Station Apt. 643,Baton Rouge,Louisiana,70939,United States,18328,Unemployed,4/8/2015,569
31,Taylor,Andrews,8/6/1969,josephholmes@example.com,512-376-4864,92881 Davis Parkways Suite 791,Olympia,Washington,99358,United States,78031,Retired,6/19/2017,708
32,John,Spence,9/22/1996,zacharycarey@example.org,(603)260-6225,796 Christian Orchard Suite 677,Annapolis,Maryland,20746,United States,15685,Unemployed,12/26/2015,821
33,Charles,Navarro,3/28/1997,anthonyyoung@example.net,+1-473-234-3231x871,291 Shawna Turnpike Suite 657,Saint Paul,Minnesota,55916,United States,65149,Employed,3/26/2015,412
34,Melissa,Ponce,10/29/1982,tonibarron@example.org,(756)682-5674x0547,463 Newman Station Suite 367,Austin,Texas,74109,United States,14687,Unemployed,3/7/2017,732
35,Michael,Wilson,2/9/1959,derekmckay@example.com,(672)267-2371x565,087 Vaughn Plaza,Des Moines,Iowa,50501,United States,70870,Retired,6/10/2021,690
36,William,Smith,1/23/1951,williamclark@example.com,8793048824,456 Alex Turnpike Suite 544,Tallahassee,Florida,34268,United States,60759,Retired,11/1/2019,841
37,Cody,May,3/3/2000,eross@example.net,375-232-1196,66366 Patty Brooks,Charleston,West Virginia,25526,United States,7946,Student,6/7/2023,311
38,Kevin,Johnson,1/13/1991,juliefarrell@example.com,473.377.6531,57021 Mora Hill,Tallahassee,Florida,32348,United States,75629,Employed,12/2/2015,849
39,Kelly,Cochran,4/17/1981,gary78@example.com,001-626-242-7715x856,16324 Santana Gardens,Bismarck,North Dakota,58449,United States,83943,Self-Employed,2/24/2021,414
40,Andrew,Nguyen,3/2/1983,omcgee@example.org,472.362.2685x9544,414 Phillips Stream,Jackson,Mississippi,39663,United States,18335,Unemployed,12/17/2015,764
41,Christopher,Robinson,12/25/1965,scott99@example.net,755.453.9432x241,58910 Collins Crest,Salt Lake City,Utah,84347,United States,116943,Self-Employed,10/15/2022,812
42,Carla,Greer,4/16/2000,brownjade@example.com,846.889.9606,9521 Freeman Hills,Nashville,Tennessee,38130,United States,10089,Student,7/29/2017,408
43,Gary,Alvarez,11/4/1978,brookenelson@example.org,+1-676-685-1394x044,4880 Matthew Freeway Suite 461,Columbia,South Carolina,29381,United States,111547,Self-Employed,4/2/2017,819
44,Ashley,Whitaker,9/26/1983,laurawilcox@example.com,3102553177,0946 Gilbert Shores Suite 196,Tallahassee,Florida,33478,United States,10823,Unemployed,11/25/2021,682
45,Richard,Weber,5/14/1994,zflores@example.com,(280)961-0338x605,4007 Cody Falls,Baton Rouge,Louisiana,70921,United States,6340,Student,10/10/2020,843
46,Parker,Campos,1/1/2003,williamssamuel@example.com,6638738595,784 Emily Fort,Boston,Massachusetts,1294,United States,7813,Student,12/8/2021,631
47,Nicholas,Evans,1/20/1994,sarawalsh@example.org,371-600-4891x9223,23495 Curry Extensions Apt. 658,Little Rock,Arkansas,71994,United States,43348,Employed,9/19/2016,671
48,Katrina,Crosby,4/10/1966,hallmario@example.net,210.992.1454x151,0914 Klein Stravenue,Oklahoma City,Oklahoma,73143,United States,66420,Self-Employed,12/14/2015,545
49,Samantha,Ortega,3/7/2002,cconner@example.com,(377)301-3303x829,348 Logan Isle Suite 987,Montpelier,Vermont,5621,United States,12900,Student,12/4/2017,380
50,David,Medina,6/11/1962,weissbruce@example.net,7895414194,60345 Wallace Drives,Frankfort,Kentucky,41890,United States,69411,Retired,7/6/2022,370
51,Kimberly,Spence,10/1/1993,erin44@example.com,(445)606-1463x35611,28098 Kara Pines Suite 976,Salt Lake City,Utah,84208,United States,11884,Student,12/18/2021,428
52,Alex,Stanley,2/21/1960,robertsmith@example.net,952-227-8405x83951,9980 Vasquez Pass,Saint Paul,Minnesota,55214,United States,68467,Retired,5/20/2016,469
53,Kelly,Hunt,3/3/1997,daviskristina@example.net,+1-835-569-4095x9362,508 Harris Turnpike,Bismarck,North Dakota,58445,United States,9725,Student,8/16/2018,733
54,Dylan,Schmidt,9/12/1997,brandonwilliams@example.net,768.458.8308,8500 George Green,Carson City,Nevada,89513,United States,14623,Student,4/19/2020,505
55,Jason,Clayton,5/30/1969,sfuentes@example.com,599.894.0624x0091,542 Olivia Viaduct,Albany,New York,5072,United States,66884,Retired,5/20/2022,682
56,Jessica,Edwards,10/2/1995,xnelson@example.org,+1-576-386-3218x32661,024 Donna Inlet Suite 295,Bismarck,North Dakota,58589,United States,12531,Student,8/18/2020,762
57,Joshua,Brown,4/16/1992,agray@example.org,+1-423-368-1039x198,1820 David Trafficway Suite 658,Lincoln,Nebraska,68136,United States,10072,Unemployed,9/22/2015,365
58,Michael,Morgan,12/30/1998,linda24@example.net,664-355-3637,264 Steele Vista Suite 869,Santa Fe,New Mexico,88313,United States,5727,Student,12/7/2020,535
59,Alejandra,Fisher,11/19/1981,youngdavid@example.net,927-478-2406,6655 Howe Orchard,Bismarck,North Dakota,58820,United States,57339,Employed,4/26/2024,372
60,Juan,Alvarez,10/8/1991,ojordan@example.org,5758295460,7595 Angela Plaza Suite 720,Oklahoma City,Oklahoma,73915,United States,46963,Employed,5/29/2023,534
61,Robin,Scott,2/18/1986,michelle85@example.com,958.527.6215x25544,49367 Jason Prairie,Columbus,Ohio,45849,United States,68853,Employed,5/10/2016,638
62,Daniel,Keller,7/4/1988,dillonholmes@example.org,371.557.3000,638 Susan Inlet,Austin,Texas,85753,United States,10199,Unemployed,6/15/2016,585
63,Kimberly,Ramirez,12/1/1993,anthony52@example.net,-3252,373 Micheal River Apt. 864,Cheyenne,Wyoming,82014,United States,12167,Unemployed,4/23/2020,435
64,Sara,Hodges,12/10/1993,michael41@example.org,363-843-9492,976 Nicholas Pass Apt. 275,Hartford,Connecticut,6616,United States,5276,Student,4/16/2017,784
65,Travis,Kim,3/15/1950,crosbyreginald@example.com,382-450-4721x9205,41118 Kevin Neck,Boston,Massachusetts,4765,United States,65606,Retired,9/8/2022,716
66,Katrina,Carrillo,6/16/2000,pedrobass@example.org,753.905.4713x377,23162 Kimberly Path,Montgomery,Alabama,36303,United States,53289,Employed,7/24/2016,741
67,Jason,Smith,11/8/1965,terrymueller@example.com,001-694-379-1396x89261,078 Megan Village Suite 183,Raleigh,North Carolina,27589,United States,73657,Retired,6/1/2019,778
68,Kaylee,Baker,10/9/1998,zroberts@example.net,489.624.3709x36276,0126 Vincent Ferry,Oklahoma City,Oklahoma,73926,United States,51445,Employed,4/24/2019,400
69,Kim,Clark,10/13/1988,rchapman@example.net,-10555,6165 Riley Street Apt. 670,Des Moines,Iowa,51983,United States,107333,Self-Employed,6/30/2020,411
70,Matthew,Jennings,6/18/1981,timothyholloway@example.org,412-941-9500,673 Hall Center,Austin,Texas,76999,United States,15957,Unemployed,2/3/2016,849
71,Jason,Harris,2/19/1970,kramersusan@example.com,+1-265-409-3950x116,56704 Coleman Creek,Salt Lake City,Utah,84006,United States,62912,Retired,2/25/2019,487
72,Vincent,Taylor,6/28/1984,steven26@example.com,813-237-4330x0498,228 Russell Cliff,Des Moines,Iowa,52158,United States,15091,Unemployed,11/26/2019,377
73,Matthew,Knapp,3/4/2004,zbell@example.com,734-902-0903,705 Graham Lodge,Indianapolis,Indiana,47652,United States,7349,Student,1/26/2022,400
74,Derrick,Mata,11/12/2003,hlozano@example.org,3589521685,0900 Shelly Camp,Lansing,Michigan,48704,United States,7199,Student,12/22/2017,315
75,Gabriella,Clark,5/28/1985,whitney37@example.net,951.338.1628,877 Gentry Extension,Sacramento,California,90897,United States,12946,Unemployed,11/9/2021,470
76,Catherine,Williams,9/14/1967,iturner@example.net,-5297,833 Bryan Circle,Raleigh,North Carolina,28130,United States,78038,Retired,4/18/2018,518
77,Troy,Fox,8/4/1986,ilopez@example.org,268.850.1274x268,00721 Hall Pine,Jackson,Mississippi,38972,United States,45521,Employed,7/7/2019,468
78,Heather,Hopkins,8/30/1962,jacksonadam@example.org,844.558.4519x891,18765 Susan Rest Apt. 658,Indianapolis,Indiana,47189,United States,66563,Retired,5/26/2020,571
79,Jacob,Mccann,11/5/1956,brenda03@example.com,001-471-828-7401,77657 Erin Corner,Albany,New York,3554,United States,76373,Retired,12/18/2020,592
80,Timothy,Matthews,12/26/1997,estephens@example.com,001-515-792-6416,833 Cruz Fort Suite 345,Jackson,Mississippi,39604,United States,12926,Student,5/16/2021,798
81,Todd,Davis,2/24/1967,christopherfrench@example.com,+1-649-381-4735x5880,69453 Howe Freeway Apt. 969,Lansing,Michigan,49750,United States,60184,Self-Employed,9/6/2021,522
82,Diane,Bishop,7/19/1996,mcook@example.org,305.921.0090,830 Sullivan Expressway,Boston,Massachusetts,4642,United States,7607,Student,7/22/2021,362
83,Evan,Russell,9/24/1984,millersharon@example.com,(269)357-4986,7882 King Mill,Charleston,West Virginia,25107,United States,66051,Employed,8/3/2016,351
84,Ian,Floyd,7/10/2004,rbowen@example.org,001-764-639-8190x5021,0248 Pennington Squares,Providence,Rhode Island,2825,United States,9683,Student,6/16/2017,843
85,Christopher,Curtis,1/5/2004,markgreen@example.org,770.854.4654x8183,3483 Snow Fords,Annapolis,Maryland,21893,United States,9651,Student,7/1/2016,382
86,Joseph,Wilson,11/26/1992,gloriacarroll@example.net,349-875-2023,939 Patricia Viaduct Apt. 945,Topeka,Kansas,66320,United States,54928,Employed,10/21/2017,369
87,David,Willis,4/27/1991,vanessabender@example.org,001-384-698-2530x54842,229 Robert Isle,Frankfort,Kentucky,40466,United States,15220,Unemployed,9/28/2017,713
88,Anne,Warner,3/5/1998,cherylscott@example.com,001-447-772-6329x921,246 Dominguez Drives Suite 694,Nashville,Tennessee,37862,United States,7811,Student,2/8/2017,552
89,Gary,West,2/9/1988,laura27@example.org,794-667-1052x41388,56056 Harvey Pass,Juneau,Alaska,99550,United States,77242,Employed,8/24/2024,383
90,Rachel,Vance,12/8/1996,gdavenport@example.org,5707433402,3563 Daniel Summit,Montpelier,Vermont,5739,United States,9151,Student,11/25/2016,835
91,Regina,Campbell,12/14/1975,rachelshaw@example.net,(667)203-9094x995,3367 Miller Ridges,Indianapolis,Indiana,47236,United States,91790,Self-Employed,1/10/2023,509
92,Charles,Mann,7/23/1972,powellashley@example.com,809.917.7036,90756 Carla Stravenue,Dover,Delaware,19844,United States,95248,Self-Employed,1/10/2016,544
93,Joy,Smith,7/28/1984,angelcampbell@example.com,001-367-391-4574x379,05729 Henry Flat,Little Rock,Arkansas,72872,United States,16573,Unemployed,10/29/2020,607
94,Lori,Stein,10/13/1981,carol12@example.net,(626)586-2865x2649,67578 Clark Fords Suite 525,Boston,Massachusetts,4354,United States,45483,Employed,1/22/2019,309
95,Jennifer,Scott,6/8/1994,barkervalerie@example.org,(654)736-9295,07133 Smith Burg,Nashville,Tennessee,37547,United States,8602,Student,11/26/2021,402
96,Lynn,Martinez,11/29/1991,susanross@example.net,-5024,27639 Nathan Shoals,Columbia,South Carolina,29878,United States,12383,Unemployed,5/15/2017,818
97,Donna,Colon,10/20/1966,kevinhebert@example.net,+1-362-353-0154x6504,5275 Alvarez Locks Suite 939,Carson City,Nevada,89589,United States,79584,Self-Employed,7/6/2018,370
98,Jennifer,Campbell,8/31/1973,susan31@example.org,001-289-849-4079x7449,959 Palmer Courts Suite 104,Santa Fe,New Mexico,88325,United States,84723,Self-Employed,5/16/2021,591
99,William,Vasquez,4/17/1990,hughesmichael@example.com,(323)387-2249,1909 Robert Drives,Richmond,Virginia,21945,United States,9078,Student,6/3/2024,609
100,Jennifer,Andrews,9/26/2001,nandrews@example.net,767.774.8581x839,8814 Joan Mountain Suite 011,Montgomery,Alabama,36240,United States,10350,Student,4/21/2021,308
101,Mike,Campbell,10/14/2001,cohenkendra@example.org,665-253-2219x322,466 Moore Port,Topeka,Kansas,66218,United States,10625,Student,1/23/2021,606
